group,category,attack_type,attack_level,count,avg_extraction_rate_percent,avg_ber
1080p,Crops,crop,Top_75,5,25,0.2823
1080p,Filters,gamma,,5,72.5,0.0854
1080p,Filters,gaussian_blur,3,5,5,0.324
1080p,Filters,gaussian_blur,5,5,7.5,0.3514
1080p,Filters,gaussian_blur,7,5,8.75,0.3441
1080p,Filters,gaussian_noise,0.05,5,100,0.0083
1080p,Filters,gaussian_noise,0.1,5,100,0.0083
1080p,Filters,gaussian_noise,0.2,5,100,0.0083
1080p,Filters,histogram_equalization,,5,98.75,0.0083
1080p,Filters,jpeg,70,5,25,0.2733
1080p,Filters,jpeg,80,5,36.25,0.242
1080p,Filters,jpeg,90,5,85,0.0354
1080p,Filters,mean_filter,3,5,83.75,0.0389
1080p,Filters,mean_filter,5,5,65,0.0767
1080p,Filters,median_filter,3,5,91.25,0.0198
1080p,Filters,median_filter,5,5,68.75,0.0622
1080p,Filters,median_filter,7,5,27.5,0.1719
1080p,Filters,motion_blur,3,5,93.75,0.0118
1080p,Filters,motion_blur,5,5,97.5,0.0069
1080p,Filters,motion_blur,7,5,85,0.0351
1080p,Filters,salt_pepper,0.05,5,5,0.3299
1080p,Filters,salt_pepper,0.1,5,10,0.3629
1080p,Filters,salt_pepper,0.2,5,6.25,0.3854
1080p,Filters,sharpening,,5,97.5,0.008
1080p,Geometric,horizontal_flip,,5,6.25,0.3531
1080p,Geometric,rotation,-10,5,7.5,0.3716
1080p,Geometric,rotation,10,5,8.75,0.3628
1080p,Geometric,rotation,5,5,6.25,0.3778
1080p,Geometric,translation,x2_y2,5,97.5,0.0122
1080p,Geometric,translation,x4_y4,5,15,0.2719
1080p,Resize,resize,110,5,96.25,0.0097
1080p,Resize,resize,90,5,62.5,0.0628
1440p,Crops,crop,BothHorizontal_25,5,70,0.108
1440p,Crops,crop,BothHorizontal_50,5,50,0.1885
1440p,Crops,crop,BothHorizontal_75,5,25,0.2687
1440p,Crops,crop,BothVertical_25,5,76.25,0.0871
1440p,Crops,crop,BothVertical_50,5,50,0.1878
1440p,Crops,crop,BothVertical_75,5,27.5,0.2646
1440p,Crops,crop,Bottom_25,5,75,0.0917
1440p,Crops,crop,Bottom_50,5,50,0.1854
1440p,Crops,crop,Bottom_75,5,25,0.2712
1440p,Crops,crop,Left_25,5,75,0.0906
1440p,Crops,crop,Left_50,5,50,0.184
1440p,Crops,crop,Left_75,5,25,0.2708
1440p,Crops,crop,Right_25,5,75,0.0986
1440p,Crops,crop,Right_50,5,50,0.1854
1440p,Crops,crop,Right_75,5,25,0.2788
1440p,Crops,crop,Top_25,5,75,0.0982
1440p,Crops,crop,Top_50,5,50,0.184
1440p,Crops,crop,Top_75,5,25,0.2778
1440p,Filters,gamma,,5,60,0.1149
1440p,Filters,gaussian_blur,3,5,8.75,0.3746
1440p,Filters,gaussian_blur,5,5,7.5,0.3795
1440p,Filters,gaussian_blur,7,5,5,0.3726
1440p,Filters,gaussian_noise,0.05,5,100,0.0014
1440p,Filters,gaussian_noise,0.1,5,100,0.0014
1440p,Filters,gaussian_noise,0.2,5,100,0.0014
1440p,Filters,histogram_equalization,,5,96.25,0.0146
1440p,Filters,jpeg,70,5,6.25,0.3708
1440p,Filters,jpeg,80,5,23.75,0.1976
1440p,Filters,jpeg,90,5,57.5,0.0729
1440p,Filters,mean_filter,3,5,75,0.0368
1440p,Filters,mean_filter,5,5,52.5,0.0934
1440p,Filters,median_filter,3,5,63.75,0.05
1440p,Filters,median_filter,5,5,60,0.0719
1440p,Filters,median_filter,7,5,22.5,0.2225
1440p,Filters,motion_blur,3,5,93.75,0.0108
1440p,Filters,motion_blur,5,5,91.25,0.0149
1440p,Filters,motion_blur,7,5,78.75,0.0233
1440p,Filters,salt_pepper,0.05,5,5,0.3625
1440p,Filters,salt_pepper,0.1,5,5,0.3663
1440p,Filters,salt_pepper,0.2,5,10,0.3649
1440p,Filters,sharpening,,5,98.75,0.001
1440p,Geometric,horizontal_flip,,5,5,0.3826
1440p,Geometric,rotation,-10,5,7.5,0.3917
1440p,Geometric,rotation,10,5,6.25,0.3795
1440p,Geometric,rotation,5,5,6.25,0.3698
1440p,Geometric,translation,x2_y2,5,82.5,0.0184
1440p,Geometric,translation,x4_y4,5,45,0.0743
1440p,Resize,resize,110,5,97.5,0.0014
1440p,Resize,resize,90,5,86.25,0.0132
720p,Crops,crop,BothHorizontal_25,5,71.25,0.1219
720p,Crops,crop,BothHorizontal_50,5,50,0.1993
720p,Crops,crop,BothHorizontal_75,5,23.75,0.2708
720p,Crops,crop,BothVertical_25,5,67.5,0.1229
720p,Crops,crop,BothVertical_50,5,50,0.191
720p,Crops,crop,BothVertical_75,5,22.5,0.2924
720p,Crops,crop,Bottom_25,5,75,0.1108
720p,Crops,crop,Bottom_50,5,50,0.201
720p,Crops,crop,Bottom_75,5,25,0.2795
720p,Crops,crop,Left_25,5,75,0.1118
720p,Crops,crop,Left_50,5,50,0.2031
720p,Crops,crop,Left_75,5,25,0.2889
720p,Crops,crop,Right_25,5,75,0.1083
720p,Crops,crop,Right_50,5,50,0.1941
720p,Crops,crop,Right_75,5,25,0.2854
720p,Crops,crop,Top_25,5,75,0.1177
720p,Crops,crop,Top_50,5,50,0.1962
720p,Crops,crop,Top_75,5,25,0.2865
720p,Filters,gamma,,5,71.25,0.0538
720p,Filters,gaussian_blur,3,5,21.25,0.2768
720p,Filters,gaussian_blur,5,5,12.5,0.3611
720p,Filters,gaussian_blur,7,5,11.25,0.351
720p,Filters,gaussian_noise,0.05,5,100,0.0292
720p,Filters,gaussian_noise,0.1,5,100,0.0292
720p,Filters,gaussian_noise,0.2,5,100,0.0292
720p,Filters,histogram_equalization,,5,92.5,0.0257
720p,Filters,jpeg,70,5,61.25,0.101
720p,Filters,jpeg,80,5,82.5,0.0726
720p,Filters,jpeg,90,5,92.5,0.0302
720p,Filters,mean_filter,3,5,46.25,0.1837
720p,Filters,mean_filter,5,5,46.25,0.1451
720p,Filters,median_filter,3,5,40,0.1736
720p,Filters,median_filter,5,5,11.25,0.3316
720p,Filters,median_filter,7,5,15,0.3663
720p,Filters,motion_blur,3,5,87.5,0.0493
720p,Filters,motion_blur,5,5,83.75,0.0576
720p,Filters,motion_blur,7,5,43.75,0.1923
720p,Filters,salt_pepper,0.05,5,30,0.241
720p,Filters,salt_pepper,0.1,5,18.75,0.2823
720p,Filters,salt_pepper,0.2,5,15,0.3351
720p,Filters,sharpening,,5,91.25,0.0163
720p,Geometric,horizontal_flip,,5,8.75,0.3503
720p,Geometric,rotation,-10,5,11.25,0.3354
720p,Geometric,rotation,10,5,13.75,0.3399
720p,Geometric,rotation,5,5,5,0.3479
720p,Geometric,translation,x2_y2,5,63.75,0.0937
720p,Geometric,translation,x4_y4,5,18.75,0.2906
720p,Resize,resize,110,5,91.25,0.042
720p,Resize,resize,90,5,60,0.0969
R,Crops,crop,BothHorizontal_25,5,73.75,0.0927
R,Crops,crop,BothHorizontal_50,5,50,0.1875
R,Crops,crop,BothHorizontal_75,5,22.5,0.2761
R,Crops,crop,BothVertical_25,5,75,0.085
R,Crops,crop,BothVertical_50,5,50,0.1889
R,Crops,crop,BothVertical_75,5,26.25,0.2656
R,Crops,crop,Bottom_25,5,75,0.0917
R,Crops,crop,Bottom_50,5,50,0.1854
R,Crops,crop,Bottom_75,5,25,0.2722
R,Crops,crop,Left_25,5,75,0.0917
R,Crops,crop,Left_50,5,50,0.184
R,Crops,crop,Left_75,5,25,0.2708
R,Crops,crop,Right_25,5,75,0.0986
R,Crops,crop,Right_50,5,50,0.1854
R,Crops,crop,Right_75,5,25,0.2778
R,Crops,crop,Top_25,5,75,0.0972
R,Crops,crop,Top_50,5,50,0.184
R,Crops,crop,Top_75,5,25,0.2778
R,Filters,gamma,,5,85,0.0347
R,Filters,gaussian_blur,3,5,18.75,0.3368
R,Filters,gaussian_blur,5,5,17.5,0.3392
R,Filters,gaussian_blur,7,5,11.25,0.3462
R,Filters,gaussian_noise,0.05,5,100,0.0014
R,Filters,gaussian_noise,0.1,5,100,0.0014
R,Filters,gaussian_noise,0.2,5,100,0.0014
R,Filters,histogram_equalization,,5,98.75,0.0007
R,Filters,jpeg,70,5,22.5,0.275
R,Filters,jpeg,80,5,31.25,0.2021
R,Filters,jpeg,90,5,75,0.0451
R,Filters,mean_filter,3,5,76.25,0.0437
R,Filters,mean_filter,5,5,52.5,0.099
R,Filters,median_filter,3,5,91.25,0.0135
R,Filters,median_filter,5,5,60,0.0785
R,Filters,median_filter,7,5,32.5,0.2125
R,Filters,motion_blur,3,5,93.75,0.0135
R,Filters,motion_blur,5,5,95,0.0062
R,Filters,motion_blur,7,5,77.5,0.0656
R,Filters,salt_pepper,0.05,5,12.5,0.3274
R,Filters,salt_pepper,0.1,5,5,0.3483
R,Filters,salt_pepper,0.2,5,7.5,0.366
R,Filters,sharpening,,5,100,0.0014
R,Geometric,horizontal_flip,,5,15,0.3396
R,Geometric,rotation,-10,5,15,0.3531
R,Geometric,rotation,10,5,5,0.3417
R,Geometric,rotation,5,5,7.5,0.3524
R,Geometric,translation,x2_y2,5,92.5,0.0052
R,Geometric,translation,x4_y4,5,35,0.1854
R,Resize,resize,110,5,97.5,0.0007
R,Resize,resize,90,5,66.25,0.0507
